"id","centroid_x","centroid_y","polygon_source","area_mine_ha","country_name","dist_road_m","dist_power_line_m","dist_substation_m","dist_airport_m","dist_waterbody_m","dist_urban_m","avg_PVOUT","avg_GHI","avg_TEMP","avg_wind_speed_ms_50m","avg_wind_power_density_Wm2_50m","dist_PHES_upper_m","dist_PHES_lower_m","avg_elevation","dist_KBA_m","dist_PA_m","suitable_solar","suitable_wind","suitable_phes"
"A0044220",106.391192310654,21.122475414311,"Tang & Werner 2023",38.4510493290258,"Vietnam",13782.4954113271,681.767702657461,622.849447760373,19748.5219828712,1433.72096443072,0,2.96100002527237,3.62183332443237,23.484375,4.62808132171631,159.950050354004,78857.9012559623,76821.0789713212,13.5,22843.2416813898,0,FALSE,FALSE,FALSE
"A0044221",106.388809644645,21.1317529930463,"Tang & Werner 2023",5.7378645182472,"Vietnam",14194.0898264739,1900.64612319081,1834.7349831596,20219.2541396977,2638.4805177803,0,2.95900011062622,3.6159999370575,23.4375,4.69756233692169,167.554565429688,79395.6290384676,77369.3598998685,14.5,22962.4060612483,0,FALSE,FALSE,FALSE
"A0044222",106.443596072102,21.1445679764093,"Tang & Werner 2023",2.56949312887878,"Vietnam",15907.281479775,470.08739001274,2971.25975415111,26046.744268086,592.244263679522,2751.75790951697,2.95300006866455,3.60999989509583,23.3125,5.35936975479126,228.224151611328,74226.3439020341,72225.5668139267,13.75,17239.9333856246,4997.01301158867,FALSE,FALSE,FALSE
"A0044223",106.440153042044,21.1452117538398,"Tang & Werner 2023",0.996773751119435,"Vietnam",16326.8968205862,580.386245279271,2816.15186740974,25787.5080159869,306.900497337976,2494.42872148534,2.95799994468689,3.61049997806549,23.375,5.30179262161255,223.585510253906,74662.0944663542,72662.3987505859,11.5,17597.0952790727,4737.56073277595,FALSE,FALSE,FALSE
"A0044224",106.443823796705,21.1475008282614,"Tang & Werner 2023",23.1055798768199,"Vietnam",15524.3320881838,673.086470499229,2991.20117280306,25821.6153490041,320.026592177744,2548.24361883952,2.95199998219808,3.60300000508626,23.3333333333333,5.87593412399292,333.922729492188,73697.4334108923,71700.2197799251,14.5,16617.5469406733,4778.60781800479,FALSE,FALSE,FALSE
"A0044225",106.435818333707,21.1492578332278,"Tang & Werner 2023",1.94846753879347,"Vietnam",16876.8816139541,1013.38205913016,2939.02926297485,25459.4814882637,7.40680260652391,2235.59313982425,2.95799994468689,3.61250007152557,23.375,5.59101629257202,291.534606933594,75109.1357441093,73112.9924416231,11,17877.2862776072,4408.86582255588,FALSE,FALSE,FALSE
"A0044226",106.42872135113,21.1504208552245,"Tang & Werner 2023",3.50431979785528,"Vietnam",16825.7436149167,1065.4741109321,2712.92897755921,24870.5761278259,397.663661931659,1604.9100997282,2.9539999961853,3.61150002479553,23.40625,5.18305587768555,243.700366973877,75902.5097277761,73905.4853908259,9,18610.3090305499,3821.52092428373,FALSE,FALSE,FALSE
"A0044227",106.460158765812,21.1437442259833,"Tang & Werner 2023",13.0084140926049,"Vietnam",14325.4287571905,326.542499428426,4180.06862016686,27515.1208752911,2196.99327483097,4272.83491072535,2.942999958992,3.59650003910065,23.3125,5.59355902671814,276.805923461914,72391.2812107936,70393.4607487619,20.5,15475.1180741961,6503.86709869504,FALSE,FALSE,FALSE
"A0044228",106.363979927856,21.1934789325983,"Tang & Werner 2023",4.69547216188117,"Vietnam",11929.5751564263,321.445096649505,9243.92455351716,21910.9605335941,6482.86345360511,6831.33215128539,2.94199991226196,3.60800004005432,23.375,5.78550505638123,279.662254333496,83387.1186021443,81425.1681106367,20,24944.8892375592,4646.70840196227,FALSE,FALSE,FALSE
"A0044229",106.368387728692,21.1943168907993,"Tang & Werner 2023",3.09320790228841,"Vietnam",11760.5033020792,107.101768505549,9165.79168829198,22364.8984325161,6900.19992831725,6641.88370258034,2.94199991226196,3.60700011253357,23.3125,5.52983856201172,250.408187866211,83086.3040872875,81125.8748178961,21,24623.9464620154,4729.34016557759,FALSE,FALSE,FALSE
"A0044230",106.36845335283,21.1929113758238,"Tang & Werner 2023",1.0669301014553,"Vietnam",11946.6844215581,277.703011763428,9033.64650012088,22290.9054301085,6815.32926717883,6536.56279881001,2.94199991226196,3.60550010204315,23.3125,5.62963199615479,262.023445129395,83097.4744827498,81134.4257378163,21,24671.1585833676,4587.46094482327,FALSE,FALSE,FALSE
